Item, Quantity, Description
Bambu Lab A1 Printer (or any other 3D printer), 1, This is to print all of the designs!
1KG Silk PLA Filament (any brand with +-0.02 tolerances), 1, Silk PLA works best with the print settings and all designs fit the 1KG total constraint
